Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0612,0.1054,1.1998
3,-0.1647,-0.09,0.2476,3.0611,0.1055,1.1998
4,-0.1647,-0.0901,0.2476,3.0609,0.1056,1.2
5,-0.1647,-0.0903,0.2476,3.0605,0.1058,1.2002
6,-0.1647,-0.0905,0.2476,3.0599,0.1061,1.2006
7,-0.1647,-0.0907,0.2476,3.0591,0.1065,1.2011
8,-0.1648,-0.091,0.2477,3.0581,0.1071,1.2017
9,-0.1648,-0.0914,0.2477,3.0569,0.1078,1.2024
10,-0.1649,-0.0918,0.2477,3.0555,0.1086,1.2033
11,-0.165,-0.0923,0.2477,3.0539,0.1095,1.2042
12,-0.1652,-0.0928,0.2477,3.052,0.1105,1.2054
13,-0.1653,-0.0934,0.2477,3.05,0.1117,1.2066
14,-0.1655,-0.094,0.2478,3.0478,0.113,1.2079
15,-0.1657,-0.0946,0.2478,3.0454,0.1144,1.2094
16,-0.166,-0.0953,0.2478,3.0427,0.116,1.211
17,-0.1662,-0.096,0.2478,3.0399,0.1176,1.2127
18,-0.1665,-0.0968,0.2478,3.0369,0.1194,1.2145
19,-0.1668,-0.0976,0.2478,3.0337,0.1213,1.2164
20,-0.1671,-0.0985,0.2478,3.0303,0.1233,1.2184
21,-0.1675,-0.0994,0.2478,3.0268,0.1255,1.2206
22,-0.1679,-0.1003,0.2478,3.023,0.1277,1.2229
23,-0.1683,-0.1012,0.2478,3.0191,0.1301,1.2252
24,-0.1687,-0.1021,0.2478,3.015,0.1326,1.2277
25,-0.1691,-0.103,0.2478,3.0107,0.1352,1.2303
26,-0.1695,-0.1041,0.2477,3.0066,0.1377,1.2328
27,-0.17,-0.1051,0.2477,3.0018,0.1406,1.2357
28,-0.1705,-0.1061,0.2476,2.9969,0.1436,1.2386
29,-0.171,-0.1072,0.2476,2.9922,0.1464,1.2414
30,-0.1716,-0.1084,0.2475,2.9869,0.1497,1.2447
31,-0.1722,-0.1095,0.2474,2.9814,0.153,1.2479
32,-0.1728,-0.1106,0.2473,2.9759,0.1565,1.2513
33,-0.1734,-0.1118,0.2472,2.9702,0.16,1.2547
34,-0.1741,-0.113,0.2471,2.9644,0.1636,1.2582
35,-0.1747,-0.1141,0.2469,2.958,0.1676,1.262
36,-0.1754,-0.1153,0.2468,2.9521,0.1713,1.2656
37,-0.1761,-0.1165,0.2466,2.9459,0.1752,1.2693
38,-0.1768,-0.1176,0.2464,2.9391,0.1795,1.2734
